store_id,name,deadline_days,deadline_time,keywords,always_open,fixed_note,memo
plus_esc,플러스 이스케이프,14,22:00,루나빌리지,,,https://www.plus-escape.com/
ptw_gn,플레이더월드 강남점,6,0:00,"두근두근러브대작전,두두러,두러대,이웃집또도와,이웃집또털어,조선피자몰,조피몰,이상한나라로출두요,이나출,먹루마블",,,https://naver.me/5Q37ULvz
ptw_kd,플레이더월드 건대점,13,0:00,"선고,사악한악마와달콤한공장,사악달공,뱀파이어헌터,뱀헌,개수작,전지적교수님시점,전교시",,,https://naver.me/5bVswA91
ptw_dj,플레이더월드 대전은행점,6,22:00,"방탈고,방탈GO,당근이세용?,007빵,공공칠빵,문제없는방,삐질삐질사우나,봉봉쥬스미스터리,봉봉쥬스미스테리,평화고시원,평고,봉봉주스",,,https://naver.me/xmxzvAmq
ptw_dsr,플레이더월드 동성로점,6,0:00,"지금가는중,고양만두,알바천국솔로지옥,엄마나만원만",,,https://naver.me/5qDjHU39
ptw_bp,플레이더월드 부평점,6,0:00,"NO WAY OUT,노웨이아웃,SAVE THE WORLD,세이브더월드,호스피스,별점테러짜장나요,구해줘햄즈",,,https://naver.me/G1wJC8Ra
ptw_pt,플레이더월드 평택점,6,0:00,"시간전당포,사귀,대탈출2,MSI미제사건전담반,집으로,쌩얼",,,https://naver.me/GalJsgzw
pa_hd,플레이아레나 홍대점,,,풀리지않는 49칸의 수수께끼,1,,https://naver.me/GVELNSpA
ppl_gn,플레이포인트랩 강남점,7,0:00,"리허설,갱생,더맨,STAFF ONLY,스태프온리,작은창고,위로",,,https://playpointlab.com/
ppl_nw,플레이포인트랩 노원점,7,0:00,"EMOTION,이모션,TIME CRACK,타임크랙,일탈,통제구역",,,https://playpointlab.com/
ppl_bso,플레이포인트랩 부산서면오리진점,7,0:00,"스팀스파이어사가,집으로,그늘사진관,재:트라우마",,,https://playpointlab.com/
ppl_sts,플레이포인트랩 서면탄탄스트리트점,7,0:00,"근비빌라401호가정방문,토이메이커,F등급킬러:다정리",,,https://playpointlab.com/
ppl_js,플레이포인트랩 잠실점,7,0:00,"이스케이프플랜,어게인,그리고아무도없었다,블랙룸,쉽게만들어진방,#보이스,샵보이스,#VOICE,더매치,마지막전댕",,,https://playpointlab.com/
ppl_cd,플레이포인트랩 천안두정점,7,0:00,"시크릿가든,경찰서를털어라,카마수트라,13고스트,스카이넷,화이트룸,클래식",,,https://playpointlab.com/
ppl_cp,플레이포인트랩 천안프리미엄점,7,0:00,"라퓨타,하루살이,터널,코드명MK,트러브메이커,패럿가이",,,https://playpointlab.com/
